name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
Rasu's The Spice Station pure veg,"
P/7/A, CIT Rd, Scheme VI-M, Kadapara, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054",099035 10789,https://www.google.co.in/intl/en/about/products?tab=lh,4.8,,Vegetarian restaurant,,·₹200–400,https://www.google.com/maps/place/Rasu%27s+The+Spice+Station+pure+veg/data=!4m7!3m6!1s0x3a02778a885ba7fd:0xedbc8bd2a16acd22!8m2!3d22.5721708!4d88.3905922!16s%2Fg%2F11pc9l__mk!19sChIJ_adbiIp3AjoRIs1qodKLvO0?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T22:42:57.544677,22.5721708,88.3905922
Banjara Multi Cuisine Restaurant,"
FIRE BRIGADE HEAD QUARTERS, 15, Mirza Ghalib St, near DHARMTALA, New Market Area, Janbazar, Taltala, Kolkata, West Bengal 700016",083358 46553,https://www.swiggy.com/city/kolkata/banjara-borough-vi-esplanade-rest428862?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.2,3175.0,Biryani restaurant,,,https://www.google.com/maps/place/Banjara+Multi+Cuisine+Restaurant/data=!4m7!3m6!1s0x3a0277ef65bcd7fb:0x26e43944fe054a33!8m2!3d22.5572693!4d88.3547623!16s%2Fg%2F11r_k7qr8t!19sChIJ-9e8Ze93AjoRM0oF_kQ55CY?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T22:44:35.966536,22.5572693,88.3547623
Zam Zam Restaurant Pvt. Ltd.,"
9/1, Noor Ali Ln, behind Frank Anthony Public School, Beniapukur, Kolkata, West Bengal 700014",098311 06252,https://swiggy.onelink.me/BVRZ?af_dp=swiggydiners://details/25140?source=GoogleReserve&af_ios_url=https://www.swiggy.com/restaurants/zam-zam-restaurant-entally-esplanade-kolkata-25140/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve&af_android_url=https://www.swiggy.com/restaurants/zam-zam-restaurant-entally-esplanade-kolkata-25140/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve&af_web_dp=https://www.swiggy.com/restaurants/zam-zam-restaurant-entally-esplanade-kolkata-25140/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve,4.3,6924.0,Mughlai restaurant,,·₹1–400,https://www.google.com/maps/place/Zam+Zam+Restaurant+Pvt.+Ltd./data=!4m7!3m6!1s0x3a0276fcb848e691:0xd4f76283da34cd8a!8m2!3d22.5527532!4d88.3672631!16s%2Fg%2F1w3450rk!19sChIJkeZIuPx2AjoRis002oNi99Q?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T22:46:43.903274,22.5527532,88.3672631
Spice Kraft,"
54/1/2A, Hazra Rd, near HDFC Bank, Dover Terrace, Ballygunge, Kolkata, West Bengal 700019",098312 23311,https://spice-kraft-restaurant.shop/,4.3,3829.0,Fine dining restaurant,,·₹₹,https://www.google.com/maps/place/Spice+Kraft/data=!4m7!3m6!1s0x3a0276d7a224af41:0x221cffa4c6a35578!8m2!3d22.5262991!4d88.3646592!16s%2Fg%2F11bwkgq3yt!19sChIJQa8kotd2AjoReFWjxqT_HCI?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T22:47:21.273675,22.5262991,88.3646592
Alfresco,"
1,2,3, Old Court House Street, Dalhousie Square, Kolkata, West Bengal 700069",033 4444 7777,http://www.thelalit.com/the-lalit-great-eastern-kolkata/dining-en.html#item4,4.1,2261.0,Buffet restaurant,,·₹₹₹,https://www.google.com/maps/place/Alfresco/data=!4m7!3m6!1s0x3a0277a6f2a6ad4d:0x5e8d3767ecb6ce4c!8m2!3d22.5681938!4d88.349928!16s%2Fg%2F11bbt9snrk!19sChIJTa2m8qZ3AjoRTM627Gc3jV4?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T22:47:28.636427,22.5681938,88.349928
"The Gazeboo | All Day Diner, Restaurant & Lounge in Park Street, Kolkata","
1, Park Ln, Esplanade, Mullick Bazar, Taltala, Kolkata, West Bengal 700016",085839 36222,https://thegazeboo.in/,4.3,16811.0,Eclectic restaurant,,·₹200–600,"https://www.google.com/maps/place/The+Gazeboo+%7C+All+Day+Diner,+Restaurant+%26+Lounge+in+Park+Street,+Kolkata/data=!4m7!3m6!1s0x3a0277fc5a1b229d:0xeac2284c3fe29b83!8m2!3d22.551154!4d88.3559016!16s%2Fg%2F11tnvrfy0k!19sChIJnSIbWvx3AjoRg5viP0wowuo?authuser=0&hl=en&rclk=1",restaurants in Kolkata,2025-06-26T22:47:34.524314,22.551154,88.3559016
One Step Up,"
18A, Park St, Park Street area, Kolkata, West Bengal 700071",098303 12307,https://www.swiggy.com/city/kolkata/one-step-up-park-street-central-kolkata-rest12458?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.3,1619.0,Continental restaurant,,·₹₹,https://www.google.com/maps/place/One+Step+Up/data=!4m7!3m6!1s0x3a02771002d7a53b:0x3c08c5d02cea3753!8m2!3d22.552973!4d88.3525033!16s%2Fg%2F1tdmc9m4!19sChIJO6XXAhB3AjoRUzfqLNDFCDw?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T22:47:40.179614,22.552973,88.3525033
Mocambo Restaurant and Bar,"
Ground Floor, 25B, Mirza Ghalib St, Taltala, Kolkata, West Bengal 700016",033 4065 5380,https://swiggy.onelink.me/BVRZ?af_dp=swiggydiners://details/4484?source=GoogleReserve&af_ios_url=https://www.swiggy.com/restaurants/mocambo-park-street-central-kolkata-kolkata-4484/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve&af_android_url=https://www.swiggy.com/restaurants/mocambo-park-street-central-kolkata-kolkata-4484/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve&af_web_dp=https://www.swiggy.com/restaurants/mocambo-park-street-central-kolkata-kolkata-4484/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve,4.5,7548.0,Continental restaurant,,·₹₹₹,https://www.google.com/maps/place/Mocambo+Restaurant+and+Bar/data=!4m7!3m6!1s0x3a02770560e5efc5:0x6c123526196a3c3f!8m2!3d22.5532545!4d88.3531098!16s%2Fg%2F11c1p1qkh9!19sChIJxe_lYAV3AjoRPzxqGSY1Emw?authuser=0&hl=en&rclk=1,restaurants in Kolkata,2025-06-26T22:48:15.703359,22.5532545,88.3531098
